 Temp.     Deff        IWC         V_mass      N          Dmean   Beff     2/Qabs(12)_eff
(deg. C)   (um)      (g/cm3)       (cm/s)    (#/cm3)      (cm)

 -55.0    53.6343   0.34512E-08    12.785   0.4899E-01   .00478   1.0548   1.8430
 -55.0    43.1481   0.25264E-08     7.969   0.7918E-01   .00368   1.0825   1.7854
 -54.0    49.9922   0.45334E-08    11.745   0.9351E-01   .00414   1.0656   1.8177
 -31.0    99.6781   0.94839E-08    49.605   0.4939E-02   .02234   1.0303   1.9205
 -33.0   103.3339   0.16702E-07    53.621   0.6563E-02   .02645   1.0301   1.9215
 -33.0   113.5727   0.26767E-07    66.552   0.7963E-02   .02835   1.0301   1.9219
 -33.0    95.4798   0.28089E-07    47.150   0.1922E-01   .02008   1.0301   1.9203
 -33.0    85.9133   0.17796E-07    38.397   0.2838E-01   .01257   1.0317   1.9143
 -34.0   101.0259   0.13934E-07    54.090   0.7740E-02   .02184   1.0300   1.9209
 -36.0    85.9948   0.15737E-07    36.461   0.1739E-01   .01667   1.0302   1.9186
 -52.0    57.8721   0.35936E-07    16.287   0.4184E+00   .00493   1.0514   1.8530
 -41.0    83.2723   0.10588E-07    35.969   0.2241E-01   .01023   1.0327   1.9107
 -39.0    88.6656   0.33381E-07    40.018   0.3784E-01   .01464   1.0306   1.9176
 -38.0    92.7885   0.43272E-07    42.850   0.2720E-01   .02111   1.0299   1.9208
 -38.0    83.4741   0.31270E-07    34.772   0.4134E-01   .01492   1.0302   1.9177
 -37.0    87.6497   0.15477E-07    37.643   0.1327E-01   .01857   1.0298   1.9201
 -38.0    77.2317   0.10990E-07    28.922   0.3158E-01   .00950   1.0342   1.9072
 -38.0    65.1756   0.98641E-08    22.636   0.9267E-01   .00547   1.0479   1.8699
 -46.0    77.4975   0.23512E-07    29.308   0.6562E-01   .00951   1.0340   1.9074
 -46.0    63.6841   0.12977E-07    20.751   0.1254E+00   .00538   1.0465   1.8699
 -46.0    60.8443   0.13510E-07    18.541   0.1552E+00   .00513   1.0493   1.8615
 -46.0    66.8322   0.29343E-07    22.726   0.2136E+00   .00612   1.0415   1.8823
 -46.0   107.8553   0.24580E-07    62.027   0.1679E-01   .01558   1.0311   1.9187
 -46.0   108.7158   0.20508E-07    61.968   0.9350E-02   .02107   1.0305   1.9206
 -46.0   108.3546   0.23154E-07    63.322   0.1157E-01   .02033   1.0305   1.9204
 -46.0   109.4011   0.21899E-07    63.741   0.9890E-02   .02136   1.0304   1.9208
 -34.0   106.8292   0.32404E-07    60.208   0.2117E-01   .01799   1.0308   1.9194
 -31.0   108.1101   0.21320E-07    60.969   0.9560E-02   .02127   1.0303   1.9209
 -29.0   107.9118   0.24797E-07    62.587   0.1201E-01   .02036   1.0303   1.9207
 -26.0   108.3622   0.22788E-07    62.360   0.1002E-01   .02147   1.0303   1.9210
 -42.0    63.5632   0.18159E-07    19.249   0.1601E+00   .00582   1.0451   1.8751
 -42.0    79.5878   0.17356E-07    32.851   0.4873E-01   .00936   1.0342   1.9065
 -43.0   101.8467   0.24374E-07    51.345   0.1037E-01   .02667   1.0300   1.9214
 -48.0    61.6930   0.26536E-08    16.705   0.2246E-01   .00633   1.0430   1.8789
 -48.0    54.2393   0.23708E-08    12.649   0.3760E-01   .00486   1.0547   1.8440
 -47.0    61.7300   0.99136E-08    17.713   0.9779E-01   .00566   1.0469   1.8707
