 Temp.     Deff        IWC         V_mass      V_N       N          Dmean   Beff
(deg. C)   (um)      (g/cm3)       (cm/s)     (cm/s)   (#/cm3)      (cm)

 -37.0    91.9786   0.12129E-06    47.063     6.708   0.4231E+00   .00544   1.0383
 -48.0    80.4389   0.74365E-08    31.201    14.534   0.1640E-01   .01044   1.0319
 -39.0    98.6337   0.78108E-07    49.629    27.902   0.4757E-01   .01872   1.0304
 -17.0   116.0734   0.10117E-06    69.694    30.691   0.3471E-01   .02166   1.0305
 -27.0   111.0441   0.18061E-06    67.163    17.833   0.1338E+00   .01265   1.0314
 -21.0   124.6735   0.47113E-06    82.870    19.936   0.2256E+00   .01498   1.0311
 -21.0   112.0195   0.98976E-06    71.327    16.580   0.8239E+00   .01227   1.0315
 -22.0   121.9409   0.65243E-06    81.757    16.830   0.4164E+00   .01285   1.0315
 -22.0   123.3618   0.55704E-06    82.358    17.258   0.3293E+00   .01325   1.0314
 -22.0   118.2635   0.20091E-06    76.973    12.563   0.1883E+00   .00990   1.0325
 -28.0   112.1516   0.32920E-06    69.313    11.857   0.3737E+00   .00926   1.0329
 -29.0   119.8319   0.95682E-06    78.807    15.020   0.7085E+00   .01145   1.0318
 -29.0   120.0355   0.59861E-06    76.862    23.970   0.2584E+00   .01728   1.0308
 -30.0   108.3674   0.65346E-06    64.414    23.689   0.3912E+00   .01632   1.0307
 -31.0   108.9505   0.50430E-06    64.616    24.769   0.2818E+00   .01706   1.0306
 -33.0   107.8282   0.28351E-06    63.461    16.736   0.2462E+00   .01214   1.0316
 -33.0   114.3828   0.33929E-06    72.632    14.128   0.3061E+00   .01052   1.0321
 -34.0   111.2014   0.33229E-06    68.522    18.160   0.2488E+00   .01311   1.0313
 -38.0    95.8726   0.10081E-06    51.033     9.486   0.2234E+00   .00740   1.0348
 -38.0    98.7649   0.12959E-06    54.567     9.874   0.2554E+00   .00764   1.0343
 -39.0    92.1570   0.90339E-07    44.947    12.515   0.1626E+00   .00915   1.0330
 -42.0    93.7765   0.14477E-06    47.119    16.167   0.1924E+00   .01124   1.0317
 -43.0    94.2569   0.14583E-06    47.012    17.948   0.1688E+00   .01218   1.0314
 -44.0    77.9214   0.67300E-07    31.619     6.069   0.4020E+00   .00484   1.0418
 -44.0    80.6256   0.79404E-07    35.140     6.141   0.4332E+00   .00484   1.0415
 -49.0    64.5667   0.30730E-07    22.300     3.405   0.5232E+00   .00322   1.0631
